Scheme Name	Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	107.5534
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	118.744
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	106.3865
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	151.1357
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	114.5515
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	104.3503
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	114.3282
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	105.4722
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	367.9497
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	552.3418
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	381.7518
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1039.1310
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2717.7387
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1043.2670
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1040.7647
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1039.1303
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2636.3229
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1043.0345
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1040.7302
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	11.0452
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.5464
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.4498
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.4498
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.5464
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.9748
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW	12.3030
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW	10.4763
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW	10.4652
BANDHAN Banking & PSU Debt Fund - Direct Growth	25.3110
BANDHAN Banking & PSU Debt Fund - Direct IDCW	13.3144
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW	10.5080
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW	11.1379
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW	11.3325
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW	10.8781
